City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,guerrero negro,27.9769,-114.0611,18.4,57,100,8.75,MX,1709754328
1,avarua,-21.2078,-159.775,28.03,78,40,6.17,CK,1709754329
2,grytviken,-54.2811,-36.5092,7.08,57,100,1.06,GS,1709754329
3,college,64.8569,-147.8028,-6.63,71,75,2.57,US,1709753747
4,metlili chaamba,32.2667,3.6333,17.52,32,0,2.57,DZ,1709754330
5,bilibino,68.0546,166.4372,-32.51,100,88,0.97,RU,1709753732
6,prince rupert,54.3161,-130.3201,2.05,60,75,14.92,CA,1709753576
7,san antonio de pale,-1.4014,5.6325,28.33,79,95,4.3,GQ,1709753735
8,aasiaat,68.7098,-52.8699,-16.09,94,100,1.88,GL,1709754331
9,mount pearl,47.5166,-52.7813,5.25,96,100,6.17,CA,1709754331
10,douentza,14.9951,-2.9517,29.03,10,30,3.78,ML,1709754331
11,uturoa,-16.7333,-151.4333,27.59,80,100,4.04,PF,1709754332
12,adamstown,-25.066,-130.1015,24.24,73,78,6.15,PN,1709754332
13,portland,45.5234,-122.6762,8.33,75,7,1.79,US,1709753629
14,atafu village,-8.5421,-172.5159,28.87,74,45,3.75,TK,1709754333
15,puerto san jose,13.9256,-90.8244,30.32,60,7,6.42,GT,1709754333
16,enewetak,11.3474,162.3373,26.25,75,79,9.49,MH,1709754333
17,puerto natales,-51.7236,-72.4875,13.25,50,40,4.63,CL,1709754333
18,port-aux-francais,-49.35,70.2167,6.97,84,100,8.13,TF,1709754334
19,rio gallegos,-51.6226,-69.2181,14.03,47,20,10.29,AR,1709754335
20,savannakhet,16.566,104.751,25.42,37,31,2.51,LA,1709754335
21,tan-tan,28.438,-11.1032,16.22,82,99,5.65,MA,1709754335
22,punta arenas,-53.15,-70.9167,14.01,62,40,5.14,CL,1709754336
23,yuzhno-kurilsk,44.0306,145.8556,-5.35,81,5,3.87,RU,1709754336
24,taro,-8.3862,115.28,23.0,95,98,0.62,ID,1709754336
25,kayangel,8.0823,134.7173,27.64,64,78,4.32,PW,1709754336
26,yangambi,0.8102,24.4336,25.57,59,53,1.38,CD,1709754337
27,waitangi,-43.9535,-176.5597,12.12,82,98,3.25,NZ,1709754337
28,yellowknife,62.456,-114.3525,-13.1,90,75,3.09,CA,1709754337
29,marka,1.7159,44.7717,27.53,78,5,5.01,SO,1709754337
30,aykhal,66.0,111.5,-21.91,100,100,3.55,RU,1709754338
31,quatis,-22.4072,-44.2581,23.47,95,95,2.06,BR,1709754338
32,northam,51.0333,-4.2167,8.12,83,29,6.54,GB,1709754338
33,manta,-0.95,-80.7333,29.88,89,40,4.92,EC,1709754338
34,carnarvon,-24.8667,113.6333,30.56,57,35,5.72,AU,1709754338
35,badger,64.8,-147.5333,-6.27,78,75,2.57,US,1709754339
36,constantia,44.1833,28.65,4.38,72,100,0.74,RO,1709754339
37,indramayu,-6.3264,108.32,27.23,86,100,2.95,ID,1709754339
38,blackmans bay,-43.0167,147.3167,13.18,62,98,0.45,AU,1709754340
39,port mathurin,-19.6833,63.4167,26.43,75,52,10.07,MU,1709754340
40,ilha de mocambique,-15.0342,40.7358,27.25,89,99,5.87,MZ,1709754340
41,tual,-5.6667,132.75,29.06,76,71,2.26,ID,1709754340
42,wailua homesteads,22.0669,-159.378,25.24,65,0,10.29,US,1709754340
43,puerto ayora,-0.7393,-90.3518,29.98,89,76,2.68,EC,1709754341
44,anak,38.5108,125.4942,2.08,50,100,0.26,KP,1709754341
45,illizi,26.4833,8.4667,21.89,14,36,5.1,DZ,1709754341
46,dhalie,13.6957,44.7314,20.22,63,18,1.16,YE,1709754342
47,iqaluit,63.7506,-68.5145,-24.06,52,20,6.71,CA,1709754342
48,gotsucho,35.0,132.2167,5.23,78,100,4.94,JP,1709754342
49,edinburgh of the seven seas,-37.0676,-12.3116,18.76,95,98,3.96,SH,1709754342
50,kisii,-0.6817,34.7667,16.39,91,76,1.73,KE,1709754343
51,lebu,-37.6167,-73.65,14.61,67,100,7.7,CL,1709754343
52,bikenibeu village,1.3673,173.1241,27.98,89,75,3.6,KI,1709754343
53,rabaul,-4.1967,152.1721,25.76,91,100,4.26,PG,1709754343
54,bredasdorp,-34.5322,20.0403,17.71,72,91,2.69,ZA,1709754344
55,pisco,-13.7,-76.2167,28.03,61,0,5.14,PE,1709754344
56,fremantle,-32.05,115.7667,24.05,64,0,6.69,AU,1709754344
57,queenstown,-31.8976,26.8753,13.08,92,9,2.67,ZA,1709754345
58,ushuaia,-54.8,-68.3,8.81,87,100,2.57,AR,1709754345
59,yashan,22.1975,109.9419,17.03,68,100,3.99,CN,1709754345
60,tsiombe,-25.3,45.4833,23.68,97,100,2.8,MG,1709754345
61,banda aceh,5.5577,95.3222,26.7,80,89,2.47,ID,1709754330
62,mount isa,-20.7333,139.5,25.87,69,100,2.06,AU,1709754346
63,georgetown,5.4112,100.3354,28.96,88,40,2.68,MY,1709754164
64,tiksi,71.6872,128.8694,-28.49,100,95,1.28,RU,1709754346
65,novyy urgal,51.0736,132.5642,-27.52,100,88,0.79,RU,1709754347
66,ebaye,8.7748,167.7392,27.01,69,0,8.23,MH,1709754347
67,zelenokumsk,44.4069,43.8806,4.07,71,100,4.06,RU,1709754244
68,keflavik,64.0049,-22.5624,7.24,87,75,7.72,IS,1709754347
69,harper,4.375,-7.7169,27.57,87,0,4.22,LR,1709754347
70,vilyuchinsk,52.9306,158.4028,-12.82,87,25,3.95,RU,1709754348
71,vorgashor,67.5833,63.95,-18.32,97,100,6.43,RU,1709754348
72,olonkinbyen,70.9221,-8.7187,0.91,95,100,6.62,SJ,1709754348
